dates,new_deaths_smoothed,new_vaccinations_smoothed,scaled vacc
12/14/2020,2567.429,4512,4.512
12/15/2020,2625.143,26940,26.94
12/16/2020,2704,71082,71.082
12/17/2020,2770.286,121259,121.259
12/18/2020,2707.571,179953,179.953
12/19/2020,2739.143,180233,180.233
12/20/2020,2754.857,169468,169.468
12/21/2020,2776,223236,223.236
12/22/2020,2820.429,280043,280.043
12/23/2020,2769.857,339225,339.225
12/24/2020,2694.429,328351,328.351
12/25/2020,2489.143,270907,270.907
12/26/2020,2369,265208,265.208
12/27/2020,2321.714,264018,264.018
12/28/2020,2333.143,293801,293.801
12/29/2020,2378.571,332785,332.785
12/30/2020,2457.714,370969,370.969
12/31/2020,2515.571,402857,402.857
1/1/2021,2614,414925,414.925
1/2/2021,2712,432328,432.328
1/3/2021,2711.857,438299,438.299
1/4/2021,2726.571,447745,447.745
1/5/2021,2724.857,463305,463.305
1/6/2021,2723.571,488750,488.75
1/7/2021,2823.714,595759,595.759
1/8/2021,3108.714,758229,758.229
1/9/2021,3202.571,793205,793.205
1/10/2021,3297.857,809239,809.239
1/11/2021,3277.429,868196,868.196
1/12/2021,3389.571,929289,929.289
1/13/2021,3403,972288,972.288
1/14/2021,3369.286,992921,992.921
1/15/2021,3315.429,995813,995.813
1/16/2021,3361.286,1015788,1015.788
1/17/2021,3345.143,1023497,1023.497
1/18/2021,3306.286,997047,997.047
1/19/2021,3022.286,1009480,1009.48
1/20/2021,3082.857,1049244,1049.244
1/21/2021,3132.143,1094299,1094.299
1/22/2021,3127.143,1147177,1147.177
1/23/2021,3124.143,1183920,1183.92
1/24/2021,3105.143,1196736,1196.736
1/25/2021,3134.429,1266376,1266.376
1/26/2021,3360.286,1311538,1311.538
1/27/2021,3315.429,1358590,1358.59
1/28/2021,3274.429,1405805,1405.805
1/29/2021,3249,1446697,1446.697
1/30/2021,3155.429,1462591,1462.591
1/31/2021,3169.571,1471721,1471.721
2/1/2021,3170.571,1472499,1472.499
2/2/2021,3106.429,1477016,1477.016
2/3/2021,3076.286,1506270,1506.27
2/4/2021,3081.143,1560704,1560.704
2/5/2021,3091.857,1623625,1623.625
2/6/2021,3068.429,1663881,1663.881
2/7/2021,2999.857,1661782,1661.782
2/8/2021,2953.286,1690287,1690.287
2/9/2021,2886.429,1730159,1730.159
2/10/2021,2813.571,1754030,1754.03
2/11/2021,2714.571,1763097,1763.097
2/12/2021,2601.714,1795984,1795.984
2/13/2021,2538.714,1820544,1820.544
2/14/2021,2498.857,1841631,1841.631
2/15/2021,2427.143,1784484,1784.484
2/16/2021,2224.143,1734291,1734.291
2/17/2021,2086.857,1686135,1686.135
2/18/2021,2003.429,1607845,1607.845
2/19/2021,1953.571,1519804,1519.804
2/20/2021,1901.714,1496021,1496.021
2/21/2021,1905.857,1496458,1496.458
2/22/2021,1941.857,1536899,1536.899
2/23/2021,2032.143,1581823,1581.823
2/24/2021,2149,1661772,1661.772
2/25/2021,2123.714,1815827,1815.827
2/26/2021,2069.429,1979196,1979.196
2/27/2021,2010.571,2077480,2077.48
2/28/2021,1993.429,2114431,2114.431
3/1/2021,2010.286,2197227,2197.227
3/2/2021,1961.286,2272145,2272.145
3/3/2021,1863.714,2325611,2325.611
3/4/2021,1795.429,2363568,2363.568
3/5/2021,1733.714,2380054,2380.054
3/6/2021,1735.143,2389080,2389.08
3/7/2021,1678.571,2399111,2399.111
3/8/2021,1590.857,2416555,2416.555
3/9/2021,1569.571,2451457,2451.457
3/10/2021,1425.429,2483117,2483.117
3/11/2021,1371.429,2516442,2516.442
3/12/2021,1329.714,2544613,2544.613
3/13/2021,1253.429,2563316,2563.316
3/14/2021,1227.857,2571768,2571.768
3/15/2021,1227.143,2588436,2588.436
3/16/2021,1152.429,2614213,2614.213
3/17/2021,1101.714,2620707,2620.707
3/18/2021,1112.286,2615677,2615.677
3/19/2021,1057.286,2602963,2602.963
3/20/2021,1025.286,2597994,2597.994
3/21/2021,1062.143,2602988,2602.988
3/22/2021,1038.286,2614834,2614.834
3/23/2021,993.143,2640117,2640.117
3/24/2021,1038.571,2695454,2695.454
3/25/2021,997.143,2757261,2757.261
3/26/2021,1014.571,2827302,2827.302
3/27/2021,1020.429,2872584,2872.584
3/28/2021,971.857,2899846,2899.846
3/29/2021,989.143,2967508,2967.508
3/30/2021,986.286,3042698,3042.698
3/31/2021,924.286,3130238,3130.238
4/1/2021,890.714,3231638,3231.638
4/2/2021,852.571,3206581,3206.581
4/3/2021,846.429,3182107,3182.107
4/4/2021,825.429,3118374,3118.374
4/5/2021,797.286,3156244,3156.244
4/6/2021,788.571,3211266,3211.266
4/7/2021,1001.857,3237565,3237.565
4/8/2021,990.429,3230427,3230.427
4/9/2021,991.714,3324816,3324.816
4/10/2021,985,3407833,3407.833
4/11/2021,982.429,3498649,3498.649
4/12/2021,981.714,3485734,3485.734
4/13/2021,983.571,3414078,3414.078
