date,location,icu_patients_per_million,new_deaths,new_vaccinations_smoothed_per_million
1/30/21,Algeria,0.74,4,1
2/1/21,Algeria,0.65,3,56
2/2/21,Algeria,0.516,4,63
2/5/21,Algeria,0.471,5,72
2/8/21,Algeria,0.56,4,84
2/10/21,Algeria,0.56,2,84
2/12/21,Algeria,0.493,2,84
2/13/21,Algeria,0.448,3,84
2/14/21,Algeria,0.426,4,84
2/19/21,Algeria,0.403,4,84
2/20/21,Algeria,0.359,4,144
2/21/21,Algeria,0.336,3,203
2/23/21,Algeria,0.426,3,323
2/25/21,Algeria,0.403,3,442
2/26/21,Algeria,0.471,4,501
2/27/21,Algeria,0.471,2,501
2/28/21,Algeria,0.493,4,501
3/1/21,Algeria,0.493,4,501
3/2/21,Algeria,0.516,4,501
3/7/21,Algeria,0.471,3,501
3/10/21,Algeria,0.426,4,501
3/12/21,Algeria,0.336,3,501
3/22/21,Algeria,0.157,4,501
3/23/21,Algeria,0.202,5,501
3/24/21,Algeria,0.202,3,501
3/25/21,Algeria,0.381,2,501
3/26/21,Algeria,0.403,3,501
3/27/21,Algeria,0.448,3,501
3/28/21,Algeria,0.426,3,501
3/29/21,Algeria,0.448,4,501
3/30/21,Algeria,0.336,5,501
3/31/21,Algeria,0.336,4,501
4/1/21,Algeria,0.314,3,501
4/2/21,Algeria,0.359,3,501
4/3/21,Algeria,0.448,3,501
4/4/21,Algeria,0.448,3,501
4/5/21,Algeria,0.359,3,501
4/6/21,Algeria,0.426,4,501
4/7/21,Algeria,0.448,4,501
4/8/21,Algeria,0.448,3,501
4/9/21,Algeria,0.426,4,501
4/10/21,Algeria,0.426,3,501
4/11/21,Algeria,0.426,4,501
4/12/21,Algeria,0.314,4,501
4/13/21,Algeria,0.426,3,501
4/14/21,Algeria,0.381,4,501
4/15/21,Algeria,0.359,3,501
4/16/21,Algeria,0.269,4,501
4/17/21,Algeria,0.336,4,501
4/18/21,Algeria,0.471,3,501
4/19/21,Algeria,0.493,5,501
4/20/21,Algeria,0.426,5,501
4/21/21,Algeria,0.471,7,501
4/22/21,Algeria,0.516,9,501
4/23/21,Algeria,0.493,9,501
4/24/21,Algeria,0.493,8,501
4/25/21,Algeria,0.448,9,501
4/26/21,Algeria,0.471,10,501
4/27/21,Algeria,0.448,8,501
4/28/21,Algeria,0.516,9,501
4/29/21,Algeria,0.493,10,501
4/30/21,Algeria,0.628,9,501
5/1/21,Algeria,0.695,8,501
5/2/21,Algeria,0.538,9,501
5/3/21,Algeria,0.583,10,501
5/4/21,Algeria,0.583,9,501
5/5/21,Algeria,0.493,10,501
5/6/21,Algeria,0.516,8,501
5/7/21,Algeria,0.516,8,501
5/8/21,Algeria,0.56,6,501
5/9/21,Algeria,0.516,7,501
5/10/21,Algeria,0.493,7,501
5/11/21,Algeria,0.426,8,501
5/12/21,Algeria,0.605,7,501
5/13/21,Algeria,0.516,5,501
5/14/21,Algeria,0.583,5,501
5/15/21,Algeria,0.538,6,501
5/16/21,Algeria,0.493,8,501
5/17/21,Algeria,0.493,7,501
5/18/21,Algeria,0.471,7,501
5/19/21,Algeria,0.426,7,501
5/20/21,Algeria,0.493,6,501
5/21/21,Algeria,0.471,4,501
5/22/21,Algeria,0.403,6,501
5/23/21,Algeria,0.336,7,501
5/24/21,Algeria,0.448,8,501
5/25/21,Algeria,0.448,7,501
5/26/21,Algeria,0.426,7,501
5/27/21,Algeria,0.538,8,501
5/28/21,Algeria,0.583,7,501
5/29/21,Algeria,0.628,5,501
5/30/21,Algeria,0.493,5,501
5/31/21,Algeria,0.426,7,501
6/1/21,Algeria,0.516,8,501
6/2/21,Algeria,0.493,10,501
6/3/21,Algeria,0.516,7,501
6/4/21,Algeria,0.56,7,501
6/5/21,Algeria,0.538,6,501
6/6/21,Algeria,0.426,8,501
6/7/21,Algeria,0.448,9,501
6/8/21,Algeria,0.56,10,501
6/9/21,Algeria,0.605,7,501
6/10/21,Algeria,0.583,8,501
6/11/21,Algeria,0.56,8,501
6/12/21,Algeria,0.628,5,501
6/13/21,Algeria,0.628,6,501
6/14/21,Algeria,0.672,8,501
6/15/21,Algeria,0.695,9,501
6/16/21,Algeria,0.583,10,501
6/18/21,Algeria,0.516,10,501
6/19/21,Algeria,0.762,9,501
6/20/21,Algeria,0.65,7,501
6/21/21,Algeria,0.672,10,501
6/22/21,Algeria,0.672,9,501
6/23/21,Algeria,0.628,10,501
6/24/21,Algeria,0.538,9,501
6/26/21,Algeria,0.471,7,501
6/27/21,Algeria,0.426,8,501
6/28/21,Algeria,0.516,6,501
6/29/21,Algeria,0.605,9,501
6/30/21,Algeria,0.717,8,501
7/1/21,Algeria,0.628,10,501
7/2/21,Algeria,0.65,9,501
7/3/21,Algeria,0.65,10,501
7/4/21,Algeria,0.74,10,501
7/5/21,Algeria,0.762,10,501
7/6/21,Algeria,0.65,10,501
7/7/21,Algeria,0.65,11,501
7/8/21,Algeria,1.009,12,501
7/9/21,Algeria,0.986,13,501
7/10/21,Algeria,1.098,13,501
7/11/21,Algeria,0.874,12,501
7/12/21,Algeria,0.807,15,501
7/13/21,Algeria,0.807,16,501
7/14/21,Algeria,1.143,15,501
7/15/21,Algeria,1.098,13,501
7/16/21,Algeria,0.941,15,501
7/17/21,Algeria,1.053,12,501
7/18/21,Algeria,1.009,16,501
7/19/21,Algeria,1.031,18,501
7/20/21,Algeria,1.009,23,501
7/21/21,Algeria,0.964,15,501
7/22/21,Algeria,1.031,14,501
7/23/21,Algeria,0.941,18,501
7/24/21,Algeria,1.143,16,501
7/25/21,Algeria,1.009,21,501
7/26/21,Algeria,0.919,24,501
7/27/21,Algeria,0.807,25,501
7/28/21,Algeria,0.807,49,501
7/29/21,Algeria,0.829,28,501
7/30/21,Algeria,1.165,30,501
7/31/21,Algeria,1.053,35,501
8/1/21,Algeria,0.852,37,501
8/2/21,Algeria,0.65,38,501
8/3/21,Algeria,0.65,41,501
8/4/21,Algeria,0.829,34,501
8/5/21,Algeria,0.784,37,501
8/6/21,Algeria,1.165,46,501
8/7/21,Algeria,1.165,33,501
8/8/21,Algeria,1.076,30,501
8/9/21,Algeria,0.964,28,501
8/10/21,Algeria,0.717,40,501
8/11/21,Algeria,0.695,36,501
8/12/21,Algeria,0.852,41,501
8/13/21,Algeria,0.695,35,501
8/14/21,Algeria,0.807,36,501
8/15/21,Algeria,0.695,28,501
8/16/21,Algeria,0.74,36,501
8/17/21,Algeria,0.897,37,501
8/18/21,Algeria,0.672,31,501
8/19/21,Algeria,0.74,31,501
