date,location,continent,new_cases_smoothed,icu_patients,icu_patients_per_million,new_deaths_smoothed,new_vaccinations_smoothed
2021-01-30,Algeria,Africa,250.429,33.0,0.74,3.857,30.0
2021-02-01,Algeria,Africa,246.286,29.0,0.65,4.0,2509.0
2021-02-02,Algeria,Africa,249.143,23.0,0.516,3.857,2819.0
2021-02-05,Algeria,Africa,248.857,21.0,0.471,3.571,3217.0
2021-02-08,Algeria,Africa,247.857,25.0,0.56,3.429,3748.0
2021-02-10,Algeria,Africa,238.0,25.0,0.56,3.714,3748.0
2021-02-12,Algeria,Africa,239.143,22.0,0.493,3.286,3748.0
2021-02-13,Algeria,Africa,269.143,20.0,0.448,3.714,3748.0
2021-02-14,Algeria,Africa,231.857,19.0,0.426,3.571,3748.0
2021-02-19,Algeria,Africa,185.286,18.0,0.403,3.143,3748.0
2021-02-20,Algeria,Africa,178.714,16.0,0.359,3.286,6409.0
2021-02-21,Algeria,Africa,172.286,15.0,0.336,3.143,9069.0
2021-02-23,Algeria,Africa,172.857,19.0,0.426,3.143,14389.0
2021-02-25,Algeria,Africa,172.0,18.0,0.403,3.286,19709.0
2021-02-26,Algeria,Africa,172.143,21.0,0.471,3.286,22369.0
2021-02-27,Algeria,Africa,170.857,21.0,0.471,3.0,22369.0
2021-02-28,Algeria,Africa,167.857,22.0,0.493,3.143,22369.0
2021-03-01,Algeria,Africa,165.857,22.0,0.493,3.286,22369.0
2021-03-02,Algeria,Africa,164.429,23.0,0.516,3.429,22369.0
2021-03-07,Algeria,Africa,163.143,21.0,0.471,4.286,22369.0
2021-03-10,Algeria,Africa,155.429,19.0,0.426,4.286,22369.0
2021-03-12,Algeria,Africa,151.429,15.0,0.336,3.429,22369.0
2021-03-22,Algeria,Africa,120.714,7.0,0.157,3.0,22369.0
2021-03-23,Algeria,Africa,115.571,9.0,0.202,3.0,22369.0
2021-03-24,Algeria,Africa,107.143,9.0,0.202,3.0,22369.0
2021-03-25,Algeria,Africa,100.143,17.0,0.381,2.857,22369.0
2021-03-26,Algeria,Africa,98.143,18.0,0.403,3.0,22369.0
2021-03-27,Algeria,Africa,97.714,20.0,0.448,3.143,22369.0
2021-03-28,Algeria,Africa,97.0,19.0,0.426,3.286,22369.0
2021-03-29,Algeria,Africa,98.714,20.0,0.448,3.286,22369.0
2021-03-30,Algeria,Africa,101.714,15.0,0.336,3.286,22369.0
2021-03-31,Algeria,Africa,107.714,15.0,0.336,3.429,22369.0
2021-04-01,Algeria,Africa,108.714,14.0,0.314,3.571,22369.0
2021-04-02,Algeria,Africa,110.286,16.0,0.359,3.571,22369.0
2021-04-03,Algeria,Africa,110.571,20.0,0.448,3.571,22369.0
2021-04-04,Algeria,Africa,112.286,20.0,0.448,3.571,22369.0
2021-04-05,Algeria,Africa,113.286,16.0,0.359,3.429,22369.0
2021-04-06,Algeria,Africa,116.857,19.0,0.426,3.286,22369.0
2021-04-07,Algeria,Africa,116.0,20.0,0.448,3.286,22369.0
2021-04-08,Algeria,Africa,116.0,20.0,0.448,3.286,22369.0
2021-04-09,Algeria,Africa,117.429,19.0,0.426,3.429,22369.0
2021-04-10,Algeria,Africa,122.0,19.0,0.426,3.429,22369.0
2021-04-11,Algeria,Africa,127.714,19.0,0.426,3.571,22369.0
2021-04-12,Algeria,Africa,129.429,14.0,0.314,3.714,22369.0
2021-04-13,Algeria,Africa,131.429,19.0,0.426,3.571,22369.0
2021-04-14,Algeria,Africa,138.714,17.0,0.381,3.571,22369.0
2021-04-15,Algeria,Africa,146.571,16.0,0.359,3.571,22369.0
2021-04-16,Algeria,Africa,153.143,12.0,0.269,3.571,22369.0
2021-04-17,Algeria,Africa,158.286,15.0,0.336,3.714,22369.0
2021-04-18,Algeria,Africa,160.857,21.0,0.471,3.571,22369.0
2021-04-19,Algeria,Africa,165.714,22.0,0.493,3.714,22369.0
2021-04-20,Algeria,Africa,170.429,19.0,0.426,4.0,22369.0
2021-04-21,Algeria,Africa,171.286,21.0,0.471,4.429,22369.0
2021-04-22,Algeria,Africa,174.429,23.0,0.516,5.286,22369.0
2021-04-23,Algeria,Africa,177.0,22.0,0.493,6.0,22369.0
2021-04-24,Algeria,Africa,178.571,22.0,0.493,6.571,22369.0
2021-04-25,Algeria,Africa,182.857,20.0,0.448,7.429,22369.0
2021-04-26,Algeria,Africa,186.714,21.0,0.471,8.143,22369.0
2021-04-27,Algeria,Africa,193.143,20.0,0.448,8.571,22369.0
2021-04-28,Algeria,Africa,200.857,23.0,0.516,8.857,22369.0
2021-04-29,Algeria,Africa,214.714,22.0,0.493,9.0,22369.0
2021-04-30,Algeria,Africa,220.857,28.0,0.628,9.0,22369.0
2021-05-01,Algeria,Africa,225.0,31.0,0.695,9.0,22369.0
2021-05-02,Algeria,Africa,228.571,24.0,0.538,9.0,22369.0
2021-05-03,Algeria,Africa,229.286,26.0,0.583,9.0,22369.0
2021-05-04,Algeria,Africa,236.429,26.0,0.583,9.143,22369.0
2021-05-05,Algeria,Africa,241.714,22.0,0.493,9.286,22369.0
2021-05-06,Algeria,Africa,229.571,23.0,0.516,9.0,22369.0
2021-05-07,Algeria,Africa,226.286,23.0,0.516,8.857,22369.0
2021-05-08,Algeria,Africa,227.0,25.0,0.56,8.571,22369.0
2021-05-09,Algeria,Africa,226.0,23.0,0.516,8.286,22369.0
2021-05-10,Algeria,Africa,224.429,22.0,0.493,7.857,22369.0
2021-05-11,Algeria,Africa,212.0,19.0,0.426,7.714,22369.0
2021-05-12,Algeria,Africa,201.429,27.0,0.605,7.286,22369.0
2021-05-13,Algeria,Africa,202.286,23.0,0.516,6.857,22369.0
2021-05-14,Algeria,Africa,195.286,26.0,0.583,6.429,22369.0
2021-05-15,Algeria,Africa,184.857,24.0,0.538,6.429,22369.0
2021-05-16,Algeria,Africa,172.429,22.0,0.493,6.571,22369.0
2021-05-17,Algeria,Africa,171.0,22.0,0.493,6.571,22369.0
2021-05-18,Algeria,Africa,172.857,21.0,0.471,6.429,22369.0
2021-05-19,Algeria,Africa,173.429,19.0,0.426,6.429,22369.0
2021-05-20,Algeria,Africa,181.0,22.0,0.493,6.571,22369.0
2021-05-21,Algeria,Africa,196.429,21.0,0.471,6.429,22369.0
2021-05-22,Algeria,Africa,208.143,18.0,0.403,6.429,22369.0
2021-05-23,Algeria,Africa,221.286,15.0,0.336,6.286,22369.0
2021-05-24,Algeria,Africa,231.714,20.0,0.448,6.429,22369.0
2021-05-25,Algeria,Africa,238.286,20.0,0.448,6.429,22369.0
2021-05-26,Algeria,Africa,250.0,19.0,0.426,6.429,22369.0
2021-05-27,Algeria,Africa,252.857,24.0,0.538,6.714,22369.0
2021-05-28,Algeria,Africa,252.0,26.0,0.583,7.143,22369.0
2021-05-29,Algeria,Africa,257.857,28.0,0.628,7.0,22369.0
2021-05-30,Algeria,Africa,266.429,22.0,0.493,6.714,22369.0
2021-05-31,Algeria,Africa,258.0,19.0,0.426,6.571,22369.0
2021-06-01,Algeria,Africa,265.286,23.0,0.516,6.714,22369.0
2021-06-02,Algeria,Africa,284.857,22.0,0.493,7.143,22369.0
2021-06-03,Algeria,Africa,292.857,23.0,0.516,7.0,22369.0
2021-06-04,Algeria,Africa,309.0,25.0,0.56,7.0,22369.0
2021-06-05,Algeria,Africa,317.857,24.0,0.538,7.143,22369.0
2021-06-06,Algeria,Africa,319.0,19.0,0.426,7.571,22369.0
2021-06-07,Algeria,Africa,338.571,20.0,0.448,7.857,22369.0
2021-06-08,Algeria,Africa,347.0,25.0,0.56,8.143,22369.0
2021-06-09,Algeria,Africa,342.0,27.0,0.605,7.714,22369.0
2021-06-10,Algeria,Africa,339.857,26.0,0.583,7.857,22369.0
2021-06-11,Algeria,Africa,338.0,25.0,0.56,8.0,22369.0
2021-06-12,Algeria,Africa,341.286,28.0,0.628,7.857,22369.0
2021-06-13,Algeria,Africa,347.143,28.0,0.628,7.571,22369.0
2021-06-14,Algeria,Africa,351.286,30.0,0.672,7.429,22369.0
2021-06-15,Algeria,Africa,352.571,31.0,0.695,7.286,22369.0
2021-06-16,Algeria,Africa,346.286,26.0,0.583,7.714,22369.0
2021-06-18,Algeria,Africa,356.0,23.0,0.516,7.857,22369.0
2021-06-19,Algeria,Africa,359.429,34.0,0.762,8.429,22369.0
2021-06-20,Algeria,Africa,347.571,29.0,0.65,8.571,22369.0
2021-06-21,Algeria,Africa,364.571,30.0,0.672,8.857,22369.0
2021-06-22,Algeria,Africa,366.286,30.0,0.672,8.857,22369.0
2021-06-23,Algeria,Africa,370.143,28.0,0.628,8.857,22369.0
2021-06-24,Algeria,Africa,366.143,24.0,0.538,9.143,22369.0
2021-06-26,Algeria,Africa,361.0,21.0,0.471,8.714,22369.0
2021-06-27,Algeria,Africa,377.714,19.0,0.426,8.857,22369.0
2021-06-28,Algeria,Africa,363.714,23.0,0.516,8.286,22369.0
2021-06-29,Algeria,Africa,364.286,27.0,0.605,8.286,22369.0
2021-06-30,Algeria,Africa,368.143,32.0,0.717,8.0,22369.0
2021-07-01,Algeria,Africa,381.714,28.0,0.628,8.143,22369.0
2021-07-02,Algeria,Africa,396.857,29.0,0.65,8.143,22369.0
2021-07-03,Algeria,Africa,413.429,29.0,0.65,8.571,22369.0
2021-07-04,Algeria,Africa,429.429,33.0,0.74,8.857,22369.0
2021-07-05,Algeria,Africa,446.571,34.0,0.762,9.429,22369.0
2021-07-06,Algeria,Africa,459.714,29.0,0.65,9.571,22369.0
2021-07-07,Algeria,Africa,486.571,29.0,0.65,10.0,22369.0
2021-07-08,Algeria,Africa,511.0,45.0,1.009,10.286,22369.0
2021-07-09,Algeria,Africa,561.857,44.0,0.986,10.857,22369.0
2021-07-10,Algeria,Africa,612.714,49.0,1.098,11.286,22369.0
2021-07-11,Algeria,Africa,656.143,39.0,0.874,11.571,22369.0
2021-07-12,Algeria,Africa,710.857,36.0,0.807,12.286,22369.0
2021-07-13,Algeria,Africa,776.571,36.0,0.807,13.143,22369.0
2021-07-14,Algeria,Africa,823.571,51.0,1.143,13.714,22369.0
2021-07-15,Algeria,Africa,893.429,49.0,1.098,13.857,22369.0
2021-07-16,Algeria,Africa,945.714,42.0,0.941,14.143,22369.0
2021-07-17,Algeria,Africa,987.714,47.0,1.053,14.0,22369.0
2021-07-18,Algeria,Africa,1035.0,45.0,1.009,14.571,22369.0
2021-07-19,Algeria,Africa,1077.714,46.0,1.031,15.0,22369.0
2021-07-20,Algeria,Africa,1128.714,45.0,1.009,16.0,22369.0
2021-07-21,Algeria,Africa,1172.571,43.0,0.964,16.0,22369.0
2021-07-22,Algeria,Africa,1186.714,46.0,1.031,16.143,22369.0
2021-07-23,Algeria,Africa,1208.571,42.0,0.941,16.571,22369.0
2021-07-24,Algeria,Africa,1236.857,51.0,1.143,17.143,22369.0
2021-07-25,Algeria,Africa,1263.714,45.0,1.009,17.857,22369.0
2021-07-26,Algeria,Africa,1310.571,41.0,0.919,18.714,22369.0
2021-07-27,Algeria,Africa,1345.714,36.0,0.807,19.0,22369.0
2021-07-28,Algeria,Africa,1446.571,36.0,0.807,23.857,22369.0
2021-07-29,Algeria,Africa,1493.571,37.0,0.829,25.857,22369.0
